code,day,sport,venue,zone,type,starts_at,ends_at,timezone,duration_minutes,ticketed,in_okc,num_events
BSB24,12,Softball,OKC Softball Park,OKC,Preliminary,2028-07-26T20:00:00,2028-07-26T22:30:00,America/Chicago,150,True,True,1
VBV35,12,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Quarterfinal,2028-07-26T20:00:00,2028-07-26T22:00:00,America/Los_Angeles,120,True,False,2
HOC28,12,Hockey,Carson Field,Carson,Semifinal,2028-07-26T20:00:00,2028-07-26T22:00:00,America/Los_Angeles,120,True,False,1
SKB07,12,Skateboarding (Park),Valley Complex 2,Valley,Final,2028-07-26T20:00:00,2028-07-26T21:15:00,America/Los_Angeles,75,True,False,1
WLF04,12,Weightlifting,Peacock Theater,DTLA,Final,2028-07-26T20:50:00,2028-07-26T23:00:00,America/Los_Angeles,130,True,False,1
BKB37,12,Basketball,Inglewood Dome,Inglewood,Semifinal,2028-07-26T21:30:00,2028-07-26T23:30:00,America/Los_Angeles,120,True,False,1
ATH18,13,Athletics (Race Walk),TBD,TBD,Final,2028-07-27T07:30:00,2028-07-27T11:35:00,America/Los_Angeles,245,True,False,2
BSB25,13,Softball,OKC Softball Park,OKC,Preliminary,2028-07-27T09:00:00,2028-07-27T11:30:00,America/Chicago,150,True,True,1
CSP03,13,Canoe Sprint,Marine Stadium,Long Beach,Quarterfinal,2028-07-27T09:00:00,2028-07-27T13:30:00,America/Los_Angeles,270,True,False,12
CKT25,13,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-27T09:00:00,2028-07-27T12:30:00,America/Los_Angeles,210,True,False,1
GLF08,13,Golf,Riviera Country Club,Riviera,Preliminary,2028-07-27T09:00:00,2028-07-27T18:00:00,America/Los_Angeles,540,True,False,1
HOC29,13,Hockey,Carson Field,Carson,Semifinal,2028-07-27T09:00:00,2028-07-27T11:00:00,America/Los_Angeles,120,True,False,1
CLB07,13,Sport Climbing,Long Beach Climbing Theater,Long Beach,Final,2028-07-27T09:00:00,2028-07-27T10:55:00,America/Los_Angeles,115,True,False,1
TKW04,13,Taekwondo,LA Convention Center Hall 1,DTLA,Preliminary,2028-07-27T09:00:00,2028-07-27T13:00:00,America/Los_Angeles,240,True,False,4
ARC14,13,Archery,Carson Stadium,Carson,Preliminary,2028-07-27T09:30:00,2028-07-27T11:15:00,America/Los_Angeles,105,True,False,1
HBL43,13,Handball,Long Beach Arena,Long Beach,Bronze,2028-07-27T09:30:00,2028-07-27T11:30:00,America/Los_Angeles,120,True,False,1
SWM11,13,Swimming,2028 Stadium,Inglewood,Preliminary,2028-07-27T09:30:00,2028-07-27T11:30:00,America/Los_Angeles,120,True,False,5
TTE32,13,Table Tennis,LA Convention Center Hall 3,DTLA,Quarterfinal,2028-07-27T10:00:00,2028-07-27T15:00:00,America/Los_Angeles,300,True,False,1
